Domain ascore,Domain score,Domain trust score,Domain,Backlinks,IP Address,Country,First seen,Last seen
82,47,52,edublogs.org,98,104.16.0.23,us,2017-04-04,2018-11-21
82,61,67,marketwatch.com,41,23.36.32.108,us,2017-02-14,2018-11-21
82,53,59,utoronto.ca,144,142.1.176.63,ca,2017-06-24,2018-11-22
82,51,65,xhamster.com,311,88.208.18.30,nl,2017-05-23,2018-11-11
82,55,58,reverbnation.com,1,50.18.219.121,us,2018-09-07,2018-09-07
82,61,68,giphy.com,16,151.101.1.185,us,2017-05-23,2018-11-17
82,64,69,zdnet.com,1342,23.199.195.222,us,2016-04-04,2018-11-21
82,61,67,cisco.com,419,23.6.70.91,us,2014-11-17,2018-11-21
82,55,61,smh.com.au,39,104.86.90.200,us,2017-01-21,2018-11-21
82,53,56,repubblica.it,11,143.204.101.69,us,2017-04-27,2018-11-21
82,54,59,fiverr.com,7,130.211.181.129,us,2018-02-01,2018-11-21
82,56,63,si.edu,2077,160.111.244.48,us,2014-11-15,2018-11-21
82,55,63,nydailynews.com,117,23.54.18.249,us,2017-12-02,2018-11-21
82,50,52,rediff.com,22,202.137.236.56,in,2016-11-28,2018-11-21
82,51,57,cern.ch,1,188.184.3.34,ch,2018-01-23,2018-11-20
82,48,49,000webhostapp.com,192,145.14.145.59,de,2018-02-23,2018-11-21
82,61,66,codeplex.com,1,65.52.103.72,us,2017-05-27,2018-10-19
82,61,66,acm.org,76,64.238.159.22,us,2017-04-26,2018-11-21
82,52,66,pornhub.com,1,31.192.120.36,us,2018-02-19,2018-10-15
82,58,63,stackexchange.com,180,151.101.1.69,us,2015-02-04,2018-11-21
82,58,62,daum.net,139,203.217.239.77,kr,2017-08-15,2018-11-21
82,50,56,pbworks.com,1279,208.96.18.237,us,2017-04-03,2018-11-22
82,58,63,accuweather.com,6,23.13.150.92,us,2017-11-21,2018-11-18
82,71,71,secureserver.net,30,184.168.227.169,us,2017-04-25,2018-11-21
82,58,64,gizmodo.com,1618,151.101.130.166,us,2013-10-07,2018-11-22
81,49,52,smashwords.com,2,162.242.166.142,us,2017-06-05,2018-11-06
81,54,61,ufl.edu,35,128.227.36.27,us,2017-06-18,2018-11-21
81,55,59,freebsd.org,39,134.76.12.6,de,2017-08-05,2018-11-21
81,57,64,mlb.com,1,184.26.44.105,us,2017-11-26,2018-10-23
81,56,62,ycombinator.com,413,209.216.230.240,us,2016-04-10,2018-11-21
81,56,63,scientificamerican.com,37,151.101.34.49,us,2016-04-11,2018-11-21
81,56,62,nyu.edu,122,52.1.187.2,us,2017-04-23,2018-11-21
81,50,51,youdao.com,9,59.111.179.138,cn,2018-01-25,2018-11-21
81,67,74,shopify.com,453,54.174.82.200,us,2016-10-21,2018-11-22
81,57,64,va.gov,12,152.130.96.189,us,2018-06-05,2018-11-21
81,35,40,wallinside.com,17,104.18.33.91,us,2017-10-27,2018-11-19
81,45,48,esy.es,65,31.170.167.169,us,2018-05-07,2018-09-15
81,55,55,t-online.de,3,62.138.238.100,de,2017-08-15,2018-10-26
81,57,63,si.com,13,52.84.125.164,us,2015-07-30,2018-11-16
81,53,56,chinadaily.com.cn,1,220.243.206.20,cn,2017-11-16,2018-09-26
81,67,73,salesforce.com,1,96.43.149.26,us,2017-05-06,2018-10-26
81,53,59,lefigaro.fr,485,37.25.56.82,fr,2015-02-06,2018-11-21
81,55,62,cambridge.org,8,255.255.255.255,,2018-05-29,2018-11-17
81,46,49,gazeta.pl,46,80.252.0.132,pl,2017-07-17,2018-11-21
81,45,49,bravesites.com,1,69.90.104.110,ca,2017-10-10,2018-10-09
81,62,68,typeform.com,10,35.153.118.183,us,2018-05-29,2018-11-17
81,62,59,lolipop.jp,6640,157.7.107.76,jp,2018-09-27,2018-11-22
81,59,65,lifehacker.com,27,255.255.255.255,,2016-04-10,2018-11-21
81,55,63,espn.com,13,255.255.255.255,,2017-04-03,2018-11-20
81,55,63,bmj.com,52,52.45.17.170,us,2017-11-18,2018-11-21
81,48,55,com.gt,22,35.188.215.18,us,2017-11-18,2018-11-21
81,54,61,findlaw.com,11,104.16.110.199,us,2018-05-18,2018-11-21
