Domain ascore,Domain score,Domain trust score,Domain,Backlinks,IP Address,Country,First seen,Last seen
83,61,67,slate.com,171,151.101.194.49,us,2013-06-25,2018-11-22
83,57,64,sciencemag.org,71,52.52.160.219,us,2013-06-28,2018-11-22
82,60,67,inc.com,364,151.101.34.58,us,2015-05-09,2018-11-21
82,52,57,expedia.com,10,216.46.162.45,us,2017-05-05,2018-11-21
82,50,55,hubpages.com,40,52.72.174.208,us,2016-12-09,2018-11-21
82,51,58,bigmir.net,12,193.239.71.100,ua,2013-06-24,2018-11-21
82,57,63,weather.com,2,184.86.72.173,us,2017-05-24,2018-10-17
82,54,59,crunchbase.com,6,104.197.97.248,us,2018-08-03,2018-11-20
82,56,63,politico.com,50,23.49.176.22,us,2017-04-23,2018-11-21
82,63,66,fedoraproject.org,7,209.132.181.15,us,2017-04-22,2018-11-15
82,52,55,ezinearticles.com,1,69.135.101.57,us,2018-10-15,2018-10-15
82,73,76,viglink.com,6,52.22.139.176,us,2018-08-17,2018-10-27
82,59,61,admin.ch,894,162.23.46.46,ch,2017-06-26,2018-11-22
82,59,65,thehill.com,23,151.101.194.217,us,2016-04-10,2018-11-18
82,54,56,viadeo.com,5,23.196.126.32,us,2017-06-11,2018-10-09
82,55,55,freewebs.com,6,104.16.91.230,us,2017-05-23,2018-11-15
82,52,58,tiny.cc,38,192.241.240.89,us,2017-08-14,2018-11-21
82,54,60,udemy.com,40,151.101.33.168,us,2017-01-24,2018-11-20
82,58,66,cbslocal.com,93,192.0.79.32,us,2018-06-03,2018-11-21
82,59,65,arstechnica.com,5262,50.31.169.131,us,2016-04-10,2018-11-22
82,63,69,fortune.com,145,52.85.89.36,us,2017-01-19,2018-11-21
82,61,65,moodle.org,1,34.255.110.60,ie,2018-09-02,2018-11-08
82,47,52,kinja.com,2704,151.101.66.166,us,2015-06-15,2018-11-22
82,50,58,tufts.edu,101,130.64.212.136,us,2014-01-19,2018-11-21
82,57,57,tencent.com,35,14.17.41.228,cn,2017-06-23,2018-11-21
82,52,56,douban.com,5,154.8.131.171,cn,2016-08-26,2018-11-18
82,62,66,moz.com,420,104.16.126.208,us,2013-06-12,2018-11-21
82,57,65,rs6.net,2,208.75.122.11,us,2018-10-20,2018-11-08
82,59,66,newyorker.com,80,151.101.248.239,us,2015-02-05,2018-11-22
82,61,66,bigcartel.com,151,151.101.33.211,us,2017-04-18,2018-11-22
82,54,59,ethz.ch,146,129.132.202.13,ch,2017-05-05,2018-11-22
82,54,55,blogspot.nl,67,172.217.7.193,us,2017-09-03,2018-10-29
82,63,69,fastcompany.com,2087,151.101.33.54,us,2013-07-01,2018-11-22
82,56,64,nypost.com,45,192.0.79.33,us,2018-06-07,2018-11-18
82,58,65,gofundme.com,47,151.101.201.6,us,2016-10-06,2018-11-20
82,54,57,blogspot.com.au,23,172.217.12.225,us,2017-03-25,2018-10-30
82,56,55,exblog.jp,88,13.71.144.212,jp,2017-04-06,2018-11-22
82,57,55,jugem.jp,1592,133.130.34.134,jp,2017-03-31,2018-11-22
82,63,62,prestashop.com,5,91.240.109.42,fr,2017-09-06,2018-11-19
82,54,59,zillow.com,2,143.204.83.40,us,2016-12-23,2018-10-03
82,55,54,allegro.pl,3,54.72.214.212,ie,2018-09-08,2018-11-21
82,58,64,cmu.edu,576,128.2.20.47,us,2017-04-30,2018-11-21
82,58,63,zoho.com,4,8.40.222.155,us,2017-12-14,2018-11-21
82,51,56,pixnet.net,272,103.23.108.220,tw,2017-04-05,2018-11-21
82,56,62,vox.com,33,151.101.201.52,us,2018-09-07,2018-11-22
